Model,Brand,Release_date,Max_resolution,Low_resolution,Effective_pixels,Zoom_wide,Zoom_tele,Normal_focus_range,Macro_focus_range,Storage_included,Weight_incbatteries,Dimensions,Price
Canon PowerShot S80,Canon,2005,3264.0,2592.0,8.0,28.0,100.0,50.0,4.0,32.0,290.0,104.0,399.0
Canon PowerShot SD10,Canon,2003,2272.0,1600.0,3.0,38.0,38.0,0.0,3.0,32.0,140.0,90.0,199.0
Canon PowerShot SD100,Canon,2003,2048.0,1600.0,3.0,35.0,70.0,47.0,10.0,16.0,185.0,85.0,199.0
Canon PowerShot SD1000,Canon,2007,3072.0,2592.0,7.0,35.0,105.0,0.0,5.0,32.0,175.0,86.0,199.0
Canon PowerShot SD110,Canon,2004,2048.0,1600.0,3.0,35.0,70.0,0.0,10.0,16.0,195.0,85.0,199.0
Canon PowerShot SD20,Canon,2004,2592.0,2048.0,5.0,39.0,39.0,0.0,3.0,32.0,140.0,90.0,199.0
Canon PowerShot SD200,Canon,2004,2048.0,1600.0,3.0,35.0,105.0,0.0,3.0,16.0,135.0,86.0,199.0
Canon PowerShot SD30,Canon,2005,2592.0,2048.0,5.0,38.0,90.0,0.0,10.0,16.0,120.0,96.0,199.0
Canon PowerShot SD300,Canon,2004,2272.0,1600.0,3.0,35.0,105.0,0.0,3.0,16.0,147.0,86.0,199.0
Canon PowerShot SD40,Canon,2006,3072.0,2592.0,7.0,38.0,90.0,0.0,10.0,16.0,120.0,96.0,199.0
Canon PowerShot SD400,Canon,2005,2592.0,2048.0,5.0,35.0,105.0,0.0,3.0,16.0,150.0,86.0,199.0
Canon PowerShot SD430 Wireless,Canon,2005,2592.0,2048.0,5.0,35.0,105.0,0.0,3.0,16.0,185.0,99.0,199.0
Canon PowerShot SD450,Canon,2005,2592.0,2048.0,5.0,35.0,105.0,0.0,3.0,16.0,155.0,86.0,199.0
Canon PowerShot SD500,Canon,2005,3072.0,2592.0,7.0,37.0,111.0,0.0,5.0,32.0,200.0,90.0,199.0
Canon PowerShot SD550,Canon,2005,3072.0,2592.0,7.0,37.0,111.0,0.0,5.0,32.0,185.0,90.0,199.0
Canon PowerShot SD600,Canon,2006,2816.0,2272.0,6.0,35.0,105.0,30.0,3.0,16.0,170.0,86.0,199.0
Canon PowerShot SD630,Canon,2006,2816.0,2272.0,6.0,35.0,105.0,30.0,3.0,16.0,175.0,90.0,199.0
Canon PowerShot SD700 IS,Canon,2006,2816.0,2272.0,6.0,35.0,140.0,45.0,2.0,16.0,195.0,90.0,384.0
Canon PowerShot SD750,Canon,2007,3072.0,2592.0,7.0,35.0,105.0,0.0,5.0,32.0,170.0,92.0,384.0
Canon PowerShot SD800 IS,Canon,2006,3072.0,2592.0,7.0,28.0,105.0,0.0,3.0,16.0,195.0,90.0,384.0
Canon PowerShot SD850 IS,Canon,2007,3264.0,2272.0,8.0,35.0,140.0,45.0,2.0,32.0,195.0,90.0,384.0
Canon PowerShot SD870 IS,Canon,2007,3264.0,2592.0,8.0,28.0,105.0,45.0,2.0,32.0,165.0,93.0,384.0
Canon PowerShot SD900,Canon,2006,3648.0,2816.0,10.0,37.0,111.0,0.0,5.0,32.0,205.0,91.0,199.0
Canon PowerShot SD950 IS,Canon,2007,4000.0,3264.0,12.0,36.0,133.0,50.0,5.0,32.0,205.0,96.0,384.0
Canon PowerShot SX100 IS,Canon,2007,3264.0,2592.0,8.0,36.0,360.0,50.0,1.0,32.0,316.0,109.0,299.0
Canon PowerShot TX1,Canon,2007,3072.0,2592.0,7.0,39.0,390.0,50.0,10.0,0.0,260.0,89.0,139.0
Casio Exilim EX-P505,Casio,2005,2560.0,2048.0,4.0,38.0,190.0,40.0,1.0,7.0,275.0,99.0,249.0
Casio Exilim EX-P600,Casio,2004,2816.0,2048.0,5.0,33.0,132.0,40.0,10.0,9.0,275.0,98.0,249.0
Casio Exilim EX-P700,Casio,2004,3072.0,2304.0,7.0,33.0,132.0,40.0,10.0,9.0,275.0,98.0,249.0
Casio Exilim EX-S100,Casio,2004,2048.0,1600.0,3.0,36.0,102.0,40.0,17.0,9.0,123.0,88.0,249.0
