Model,Brand,Release_date,Max_resolution,Low_resolution,Effective_pixels,Zoom_wide,Zoom_tele,Normal_focus_range,Macro_focus_range,Storage_included,Weight_incbatteries,Dimensions,Price
Olympus D-510 Zoom,Olympus,2001,1600.0,1024.0,1.0,35.0,105.0,80.0,20.0,8.0,250.0,118.0,129.0
Olympus C-2020 Zoom,Olympus,1999,1600.0,1024.0,1.0,35.0,105.0,80.0,20.0,8.0,380.0,108.0,129.0
Olympus C-2040 Zoom,Olympus,2000,1600.0,1024.0,1.0,40.0,120.0,80.0,20.0,8.0,380.0,108.0,129.0
Olympus C-21,Olympus,1999,1600.0,1024.0,1.0,38.0,38.0,60.0,15.0,8.0,190.0,107.0,1699.0
Olympus C-2100 UZ,Olympus,2000,1600.0,1280.0,1.0,38.0,380.0,60.0,10.0,8.0,540.0,113.0,129.0
Olympus C-2500 L,Olympus,1999,1712.0,1280.0,2.0,36.0,110.0,80.0,2.0,32.0,530.0,109.0,129.0
Olympus C-3000 Zoom,Olympus,2000,2048.0,1600.0,3.0,32.0,96.0,80.0,20.0,8.0,380.0,109.0,1699.0
Olympus C-300 Zoom,Olympus,2002,1984.0,1600.0,3.0,36.0,100.0,80.0,20.0,16.0,300.0,118.0,1699.0
Olympus C-3020 Zoom,Olympus,2001,2048.0,1600.0,3.0,32.0,96.0,80.0,20.0,8.0,380.0,109.0,1699.0
Olympus C-3030 Zoom,Olympus,2000,2048.0,1600.0,3.0,32.0,96.0,80.0,20.0,16.0,380.0,109.0,1699.0
Olympus C-3040 Zoom,Olympus,2000,2048.0,1600.0,3.0,35.0,105.0,80.0,20.0,16.0,420.0,109.0,1699.0
Olympus C-4000 Zoom,Olympus,2002,2288.0,2048.0,3.0,32.0,96.0,80.0,2.0,16.0,400.0,110.0,129.0
Olympus C-4040 Zoom,Olympus,2001,2272.0,2048.0,3.0,35.0,105.0,80.0,20.0,16.0,420.0,110.0,129.0
Olympus D-40 Zoom,Olympus,2001,2272.0,2048.0,3.0,35.0,98.0,80.0,10.0,16.0,270.0,87.0,1699.0
Olympus C-5000 Zoom,Olympus,2003,2560.0,2272.0,4.0,38.0,114.0,50.0,4.0,32.0,280.0,105.0,449.0
Olympus C-5050 Zoom,Olympus,2002,2560.0,2288.0,4.0,35.0,105.0,80.0,20.0,32.0,480.0,114.0,449.0
Olympus C-5060 Zoom,Olympus,2003,2592.0,2288.0,5.0,27.0,110.0,80.0,3.0,32.0,480.0,116.0,449.0
Olympus C-50 Zoom,Olympus,2002,2560.0,2048.0,4.0,38.0,114.0,50.0,20.0,32.0,230.0,100.0,449.0
Olympus C-5500 Sport Zoom,Olympus,2005,2592.0,2288.0,5.0,38.0,190.0,60.0,8.0,16.0,340.0,110.0,129.0
Olympus C-60 Zoom,Olympus,2004,2816.0,2560.0,5.0,38.0,114.0,40.0,4.0,32.0,230.0,99.0,449.0
Olympus C-7000 Zoom,Olympus,2004,3072.0,2592.0,7.0,38.0,190.0,60.0,2.0,32.0,280.0,102.0,129.0
Olympus C-700 UZ,Olympus,2001,1600.0,1280.0,1.0,38.0,380.0,60.0,10.0,8.0,340.0,108.0,449.0
Olympus C-7070 Wide Zoom,Olympus,2005,3072.0,2592.0,7.0,27.0,110.0,80.0,3.0,32.0,480.0,116.0,129.0
Olympus C-720 UZ,Olympus,2002,1984.0,1600.0,3.0,40.0,320.0,60.0,10.0,16.0,340.0,108.0,449.0
Olympus C-730 UZ,Olympus,2002,2048.0,1600.0,3.0,38.0,380.0,60.0,10.0,16.0,400.0,108.0,449.0
Olympus C-740 UZ,Olympus,2003,2048.0,1600.0,3.0,38.0,380.0,60.0,3.0,16.0,340.0,108.0,449.0
Olympus C-750 UZ,Olympus,2003,2288.0,2048.0,3.0,38.0,380.0,60.0,3.0,16.0,340.0,108.0,449.0
Olympus C-765 UZ,Olympus,2004,2288.0,2048.0,3.0,38.0,380.0,60.0,7.0,16.0,310.0,105.0,449.0
Olympus C-770 UZ,Olympus,2004,2288.0,2048.0,3.0,38.0,380.0,60.0,7.0,32.0,310.0,105.0,449.0
Olympus C-8080 Wide Zoom,Olympus,2004,3264.0,2592.0,8.0,28.0,140.0,80.0,5.0,32.0,724.0,124.0,179.0
Olympus D-200L,Olympus,1996,640.0,320.0,0.0,36.0,36.0,75.0,20.0,2.0,320.0,145.0,129.0
Olympus D-300L,Olympus,1996,1024.0,512.0,0.0,36.0,36.0,50.0,20.0,6.0,320.0,145.0,1699.0
Olympus D-340L,Olympus,1998,1280.0,640.0,1.0,36.0,36.0,70.0,10.0,4.0,320.0,128.0,1699.0
Olympus D-340R,Olympus,1999,1280.0,640.0,1.0,36.0,36.0,70.0,10.0,8.0,320.0,128.0,1699.0
Olympus D-360L,Olympus,2000,1280.0,640.0,1.0,36.0,36.0,50.0,10.0,8.0,280.0,128.0,1699.0
Olympus D-390,Olympus,2003,1600.0,1024.0,1.0,35.0,35.0,50.0,20.0,16.0,230.0,108.0,1699.0
Olympus D-395,Olympus,2004,2048.0,1024.0,3.0,33.0,33.0,50.0,20.0,16.0,210.0,110.0,1699.0
Olympus D-400 Zoom,Olympus,1998,1280.0,640.0,1.0,35.0,105.0,80.0,20.0,8.0,320.0,127.0,129.0
Olympus D-425,Olympus,2005,2288.0,1600.0,3.0,37.0,37.0,50.0,20.0,14.0,170.0,101.0,1699.0
Olympus D-435,Olympus,2005,2592.0,1600.0,5.0,36.0,35.0,50.0,20.0,0.0,140.0,101.0,1699.0
Olympus D-450 Zoom,Olympus,1999,1280.0,640.0,1.0,35.0,105.0,80.0,20.0,8.0,320.0,127.0,129.0
Olympus D-460 Zoom,Olympus,2000,1280.0,640.0,1.0,35.0,105.0,80.0,20.0,8.0,320.0,127.0,449.0
Olympus D-490 Zoom,Olympus,2000,1600.0,640.0,1.0,35.0,105.0,80.0,20.0,8.0,320.0,127.0,129.0
Olympus D-500L,Olympus,1997,1024.0,640.0,0.0,50.0,150.0,60.0,30.0,2.0,490.0,115.0,449.0
Olympus D-520 Zoom,Olympus,2002,1600.0,1024.0,1.0,35.0,105.0,50.0,20.0,8.0,220.0,112.0,449.0
Olympus D-535 Zoom,Olympus,2004,2048.0,1600.0,3.0,38.0,114.0,50.0,2.0,12.0,190.0,88.0,449.0
Olympus D-540 Zoom,Olympus,2004,2048.0,1600.0,3.0,38.0,114.0,50.0,2.0,16.0,200.0,100.0,449.0
Olympus D-545 Zoom,Olympus,2005,2288.0,1600.0,3.0,38.0,114.0,50.0,2.0,14.0,190.0,106.0,449.0
Olympus D-560 Zoom,Olympus,2003,2048.0,1024.0,3.0,35.0,105.0,50.0,20.0,16.0,220.0,108.0,449.0
Olympus D-580 Zoom,Olympus,2004,2288.0,1600.0,3.0,35.0,105.0,50.0,7.0,16.0,210.0,108.0,179.0
Olympus D-595 Zoom,Olympus,2005,2560.0,1600.0,4.0,38.0,114.0,50.0,2.0,14.0,190.0,105.0,449.0
Olympus D-600L,Olympus,1997,1280.0,640.0,1.0,36.0,110.0,60.0,30.0,4.0,0.0,115.0,1699.0
Olympus D-620L,Olympus,1998,1280.0,640.0,1.0,36.0,110.0,60.0,30.0,8.0,520.0,115.0,1699.0
Olympus D-630 Zoom,Olympus,2005,2560.0,1600.0,4.0,35.0,105.0,60.0,10.0,14.0,175.0,94.0,129.0
Olympus E-1,Olympus,2003,2560.0,1600.0,4.0,0.0,0.0,0.0,0.0,0.0,735.0,141.0,1699.0
Olympus E-10,Olympus,2000,2240.0,1600.0,3.0,35.0,140.0,60.0,20.0,0.0,1190.0,129.0,1699.0
Olympus E-100 RS,Olympus,2000,1368.0,1280.0,1.0,38.0,380.0,60.0,10.0,16.0,603.0,108.0,129.0
Olympus E-20,Olympus,2001,2560.0,1792.0,4.0,35.0,140.0,60.0,20.0,16.0,1190.0,129.0,1699.0
Olympus E-3,Olympus,2007,3648.0,3200.0,10.0,0.0,0.0,0.0,0.0,0.0,800.0,142.0,1699.0
Olympus E-300,Olympus,2004,3264.0,3200.0,8.0,0.0,0.0,0.0,0.0,0.0,624.0,147.0,1699.0
Olympus E-330,Olympus,2006,3136.0,2560.0,7.0,0.0,0.0,0.0,0.0,0.0,616.0,140.0,1699.0
Olympus E-400,Olympus,2006,3648.0,3200.0,10.0,0.0,0.0,0.0,0.0,0.0,435.0,130.0,1699.0
Olympus E-410,Olympus,2007,3648.0,3200.0,10.0,0.0,0.0,0.0,0.0,0.0,435.0,130.0,1699.0
Olympus E-500,Olympus,2005,3264.0,3200.0,8.0,0.0,0.0,0.0,0.0,0.0,479.0,130.0,1699.0
Olympus E-510,Olympus,2007,3648.0,3200.0,10.0,0.0,0.0,0.0,0.0,0.0,490.0,136.0,1699.0
Olympus FE-100,Olympus,2005,2272.0,1600.0,4.0,35.0,106.0,50.0,5.0,28.0,160.0,88.0,129.0
Olympus FE-110,Olympus,2005,2560.0,1600.0,5.0,35.0,106.0,50.0,5.0,28.0,160.0,88.0,129.0
Olympus FE-115,Olympus,2006,2560.0,1600.0,5.0,38.0,106.0,50.0,2.0,28.0,160.0,88.0,129.0
Olympus FE-120,Olympus,2005,2816.0,1600.0,6.0,38.0,114.0,50.0,5.0,14.0,160.0,106.0,129.0
Olympus FE-130,Olympus,2006,2592.0,2048.0,5.0,38.0,114.0,10.0,5.0,22.0,160.0,96.0,129.0
Olympus FE-140,Olympus,2006,2816.0,2048.0,6.0,38.0,114.0,10.0,5.0,22.0,160.0,96.0,129.0
Olympus FE-150,Olympus,2006,2560.0,2048.0,5.0,32.0,96.0,50.0,6.0,9.0,175.0,90.0,129.0
Olympus FE-170,Olympus,2006,2816.0,2048.0,6.0,38.0,114.0,0.0,0.0,10.0,175.0,90.0,129.0
Olympus FE-180,Olympus,2006,2816.0,2048.0,6.0,38.0,114.0,0.0,0.0,10.0,170.0,88.0,179.0
Olympus FE-190,Olympus,2006,2816.0,2048.0,6.0,38.0,114.0,0.0,0.0,22.0,150.0,91.0,129.0
Olympus FE-200,Olympus,2006,2816.0,2048.0,6.0,28.0,140.0,0.0,0.0,24.0,195.0,98.0,129.0
Olympus FE-210,Olympus,2007,3072.0,2048.0,7.0,38.0,114.0,60.0,10.0,9.0,175.0,90.0,129.0
Olympus FE-230,Olympus,2007,3072.0,2048.0,7.0,38.0,114.0,60.0,10.0,20.0,145.0,91.0,129.0
Olympus FE-240,Olympus,2007,3072.0,2048.0,7.0,38.0,190.0,70.0,10.0,20.0,145.0,91.0,129.0
Olympus FE-250,Olympus,2007,3264.0,2048.0,8.0,38.0,105.0,60.0,10.0,20.0,155.0,94.0,129.0
Olympus FE-270,Olympus,2007,3072.0,2048.0,7.0,38.0,114.0,60.0,5.0,6.0,122.0,90.0,129.0
Olympus FE-280,Olympus,2007,3264.0,2048.0,8.0,36.0,108.0,60.0,5.0,48.0,108.0,92.0,179.0
Olympus FE-290,Olympus,2007,3072.0,2048.0,7.0,28.0,112.0,40.0,5.0,6.0,142.0,98.0,129.0
Olympus FE-300,Olympus,2007,4000.0,2048.0,12.0,35.0,105.0,60.0,10.0,48.0,115.0,94.0,129.0
Olympus IR-300,Olympus,2005,2560.0,2048.0,4.0,38.0,114.0,50.0,5.0,15.0,160.0,99.0,129.0
Olympus Stylus 300 ,Olympus,2003,2048.0,1600.0,3.0,35.0,105.0,50.0,20.0,16.0,220.0,99.0,229.0
Olympus Stylus 400 ,Olympus,2003,2272.0,2048.0,3.0,35.0,105.0,50.0,20.0,16.0,220.0,99.0,229.0
Olympus SP-310,Olympus,2005,3072.0,2592.0,7.0,38.0,114.0,20.0,5.0,32.0,230.0,100.0,449.0
Olympus SP-320,Olympus,2006,3072.0,2592.0,7.0,38.0,114.0,20.0,2.0,25.0,230.0,100.0,449.0
Olympus SP-350,Olympus,2005,3264.0,2592.0,8.0,38.0,114.0,20.0,5.0,32.0,245.0,100.0,449.0
Olympus SP-500 UZ,Olympus,2005,2816.0,2592.0,6.0,38.0,380.0,60.0,3.0,10.0,385.0,106.0,449.0
Olympus SP-510 UZ,Olympus,2006,3072.0,2560.0,7.0,38.0,380.0,60.0,3.0,0.0,410.0,106.0,449.0
Olympus SP-550 UZ,Olympus,2007,3072.0,2560.0,7.0,28.0,504.0,10.0,1.0,20.0,460.0,116.0,449.0
Olympus SP-560 UZ,Olympus,2007,3264.0,2560.0,8.0,27.0,486.0,10.0,1.0,47.0,365.0,116.0,449.0
Olympus SP-700,Olympus,2005,2816.0,2288.0,6.0,38.0,114.0,30.0,10.0,11.0,180.0,98.0,449.0
Olympus Stylus 1000,Olympus,2006,3648.0,2560.0,10.0,35.0,105.0,60.0,10.0,0.0,195.0,97.0,229.0
Olympus Stylus 1200,Olympus,2007,4000.0,3264.0,12.0,35.0,105.0,60.0,10.0,47.0,125.0,98.0,249.0
Olympus Stylus 410 ,Olympus,2004,2272.0,2048.0,3.0,35.0,105.0,50.0,20.0,16.0,200.0,99.0,229.0
Olympus Stylus 500 ,Olympus,2004,2560.0,2048.0,4.0,35.0,105.0,50.0,7.0,32.0,200.0,99.0,229.0
Olympus Stylus 600 ,Olympus,2005,2816.0,2560.0,6.0,35.0,105.0,50.0,7.0,8.0,195.0,97.0,229.0
Olympus Stylus 700 ,Olympus,2006,3072.0,2560.0,7.0,37.0,111.0,60.0,8.0,19.0,140.0,95.0,229.0
Olympus Stylus 720 SW ,Olympus,2006,3072.0,2560.0,7.0,37.0,111.0,60.0,8.0,19.0,190.0,95.0,299.0
Olympus Stylus 725 SW,Olympus,2006,3072.0,2560.0,7.0,38.0,114.0,60.0,2.0,19.0,190.0,91.0,299.0
Olympus Stylus 730,Olympus,2006,3072.0,2560.0,7.0,38.0,114.0,50.0,7.0,22.0,190.0,96.0,229.0
Olympus Stylus 740,Olympus,2006,3072.0,2560.0,7.0,36.0,180.0,70.0,3.0,17.0,160.0,96.0,229.0
Olympus Stylus 750,Olympus,2006,3072.0,2560.0,7.0,36.0,180.0,70.0,3.0,17.0,170.0,96.0,229.0
Olympus Stylus 760,Olympus,2007,3072.0,2560.0,7.0,37.0,111.0,60.0,8.0,18.0,160.0,99.0,229.0
Olympus Stylus 770 SW,Olympus,2007,3072.0,2560.0,7.0,38.0,114.0,50.0,7.0,18.0,195.0,92.0,299.0
Olympus Stylus 780,Olympus,2007,3072.0,2560.0,7.0,36.0,180.0,70.0,3.0,18.0,195.0,100.0,299.0
Olympus Stylus 790 SW,Olympus,2007,3072.0,2560.0,7.0,38.0,114.0,50.0,7.0,14.0,155.0,92.0,299.0
Olympus Stylus 800 ,Olympus,2005,3264.0,2560.0,8.0,38.0,114.0,50.0,3.0,19.0,200.0,103.0,249.0
Olympus Stylus 810 ,Olympus,2006,3264.0,2560.0,8.0,35.0,105.0,60.0,10.0,28.0,185.0,97.0,249.0
Olympus Stylus 820,Olympus,2007,3264.0,2560.0,8.0,36.0,180.0,70.0,3.0,47.0,125.0,96.0,249.0
Olympus Stylus 830,Olympus,2007,3248.0,2560.0,8.0,36.0,180.0,70.0,3.0,14.0,125.0,100.0,249.0
Olympus Stylus Verve ,Olympus,2004,2272.0,2048.0,3.0,35.0,70.0,50.0,8.0,16.0,165.0,95.0,229.0
Olympus Stylus Verve  S,Olympus,2005,2560.0,2048.0,4.0,35.0,70.0,50.0,8.0,16.0,165.0,95.0,299.0
Panasonic Lumix DMC-F7,Panasonic,2001,1600.0,800.0,1.0,35.0,70.0,50.0,10.0,8.0,200.0,104.0,1499.0
Panasonic Lumix DMC-FX01,Panasonic,2006,2816.0,2048.0,6.0,28.0,102.0,50.0,5.0,16.0,155.0,94.0,1499.0
Panasonic Lumix DMC-FX07,Panasonic,2006,3072.0,2560.0,7.0,28.0,102.0,50.0,5.0,0.0,170.0,94.0,1499.0
Panasonic Lumix DMC-FX1,Panasonic,2003,2048.0,1600.0,3.0,35.0,105.0,50.0,10.0,16.0,185.0,0.0,1499.0
Panasonic Lumix DMC-FX10,Panasonic,2007,2816.0,2048.0,6.0,35.0,105.0,50.0,5.0,27.0,155.0,94.0,1499.0
Panasonic Lumix DMC-FX100,Panasonic,2007,4000.0,3264.0,12.0,28.0,100.0,50.0,5.0,27.0,150.0,54.0,1499.0
Panasonic Lumix DMC-FX12,Panasonic,2007,3072.0,2560.0,7.0,35.0,105.0,50.0,5.0,27.0,155.0,94.0,1499.0
Panasonic Lumix DMC-FX2,Panasonic,2004,2304.0,1600.0,4.0,35.0,105.0,50.0,5.0,16.0,148.0,94.0,1499.0
Panasonic Lumix DMC-FX3,Panasonic,2006,2816.0,2048.0,6.0,35.0,105.0,50.0,5.0,13.0,165.0,94.0,299.0
Panasonic Lumix DMC-FX30,Panasonic,2007,3072.0,2560.0,7.0,28.0,100.0,50.0,5.0,27.0,162.0,95.0,299.0
Panasonic Lumix DMC-FX33,Panasonic,2007,3264.0,2560.0,8.0,28.0,100.0,50.0,5.0,27.0,154.0,95.0,299.0
Panasonic Lumix DMC-FX5,Panasonic,2003,2304.0,1600.0,4.0,35.0,105.0,50.0,10.0,16.0,185.0,0.0,1499.0
Panasonic Lumix DMC-FX50,Panasonic,2006,3072.0,2560.0,7.0,28.0,102.0,50.0,5.0,0.0,190.0,98.0,1499.0
Panasonic Lumix DMC-FX55,Panasonic,2007,3264.0,2560.0,8.0,28.0,100.0,50.0,5.0,27.0,165.0,95.0,1499.0
Panasonic Lumix DMC-FX7,Panasonic,2004,2560.0,2048.0,4.0,35.0,105.0,50.0,5.0,16.0,153.0,94.0,1499.0
Panasonic Lumix DMC-FX8,Panasonic,2005,2560.0,2560.0,5.0,35.0,105.0,50.0,5.0,16.0,155.0,94.0,1499.0
Panasonic Lumix DMC-FX9,Panasonic,2005,2816.0,2048.0,6.0,35.0,105.0,50.0,5.0,16.0,155.0,94.0,1499.0
Panasonic Lumix DMC-FZ1,Panasonic,2002,1600.0,1280.0,2.0,35.0,420.0,30.0,3.0,8.0,354.0,125.0,149.0
Panasonic Lumix DMC-FZ10,Panasonic,2003,2304.0,1600.0,4.0,35.0,420.0,30.0,5.0,16.0,550.0,87.0,149.0
Panasonic Lumix DMC-FZ18,Panasonic,2007,3264.0,2560.0,8.0,28.0,504.0,30.0,1.0,27.0,407.0,118.0,149.0
Panasonic Lumix DMC-FZ2,Panasonic,2003,1600.0,1280.0,2.0,35.0,420.0,30.0,5.0,0.0,350.0,114.0,149.0
Panasonic Lumix DMC-FZ20,Panasonic,2004,2560.0,2048.0,5.0,36.0,432.0,30.0,5.0,16.0,556.0,87.0,149.0
Panasonic Lumix DMC-FZ3,Panasonic,2004,2016.0,1600.0,3.0,35.0,420.0,30.0,5.0,16.0,326.0,108.0,299.0
Panasonic Lumix DMC-FZ30,Panasonic,2005,3264.0,2560.0,8.0,35.0,420.0,30.0,5.0,32.0,740.0,141.0,299.0
Panasonic Lumix DMC-FZ4,Panasonic,2005,2304.0,1600.0,4.0,35.0,420.0,50.0,5.0,8.0,326.0,102.0,149.0
Panasonic Lumix DMC-FZ5,Panasonic,2005,2560.0,2048.0,4.0,36.0,432.0,50.0,5.0,16.0,326.0,108.0,149.0
Panasonic Lumix DMC-FZ50,Panasonic,2006,3648.0,3264.0,10.0,35.0,420.0,30.0,5.0,32.0,734.0,141.0,149.0
Panasonic Lumix DMC-FZ7,Panasonic,2006,2816.0,2304.0,6.0,36.0,432.0,30.0,5.0,16.0,340.0,113.0,149.0
Panasonic Lumix DMC-FZ8,Panasonic,2007,3072.0,2560.0,7.0,36.0,432.0,30.0,5.0,27.0,340.0,113.0,149.0
Panasonic Lumix DMC-L1,Panasonic,2006,3136.0,2560.0,7.0,0.0,0.0,0.0,0.0,0.0,606.0,146.0,1499.0
Panasonic Lumix DMC-L10,Panasonic,2007,3648.0,2816.0,10.0,0.0,0.0,0.0,0.0,0.0,556.0,135.0,1499.0
Panasonic Lumix DMC-LC1,Panasonic,2004,2560.0,2048.0,4.0,28.0,90.0,30.0,30.0,16.0,705.0,135.0,1499.0
Panasonic Lumix DMC-LC20,Panasonic,2002,1600.0,1024.0,1.0,35.0,105.0,50.0,15.0,8.0,290.0,99.0,1499.0
Panasonic Lumix DMC-LC33,Panasonic,2003,2048.0,1600.0,3.0,35.0,105.0,50.0,10.0,32.0,215.0,96.0,1499.0
Panasonic Lumix DMC-LC40,Panasonic,2002,2240.0,1600.0,3.0,33.0,100.0,30.0,6.0,16.0,420.0,104.0,1499.0
Panasonic Lumix DMC-LC43,Panasonic,2003,2304.0,1600.0,4.0,35.0,105.0,50.0,10.0,32.0,215.0,96.0,1499.0
Panasonic Lumix DMC-LC5,Panasonic,2001,2240.0,1600.0,3.0,33.0,100.0,30.0,6.0,32.0,435.0,128.0,1499.0
Panasonic Lumix DMC-LC50,Panasonic,2004,2048.0,1600.0,3.0,35.0,105.0,50.0,10.0,16.0,210.0,65.0,1499.0
Panasonic Lumix DMC-LC70,Panasonic,2004,2304.0,1600.0,4.0,35.0,105.0,50.0,10.0,16.0,210.0,65.0,1499.0
Panasonic Lumix DMC-LC80,Panasonic,2004,2560.0,2048.0,4.0,35.0,105.0,50.0,10.0,16.0,207.0,88.0,1499.0
Panasonic Lumix DMC-LS1,Panasonic,2005,2304.0,1600.0,4.0,35.0,105.0,50.0,5.0,14.0,188.0,94.0,1499.0
Panasonic Lumix DMC-LS2,Panasonic,2006,2560.0,2048.0,5.0,35.0,105.0,50.0,5.0,14.0,188.0,111.0,1499.0
Panasonic Lumix DMC-LS60,Panasonic,2007,2816.0,2048.0,6.0,35.0,105.0,50.0,5.0,27.0,188.0,94.0,149.0
Panasonic Lumix DMC-LS75,Panasonic,2007,3072.0,2560.0,7.0,35.0,105.0,50.0,5.0,27.0,188.0,94.0,1499.0
Panasonic Lumix DMC-LX1,Panasonic,2005,3840.0,3072.0,8.0,28.0,112.0,50.0,5.0,32.0,220.0,106.0,1499.0
Panasonic Lumix DMC-LX2,Panasonic,2006,4224.0,3840.0,10.0,28.0,112.0,50.0,5.0,13.0,220.0,106.0,1499.0
Panasonic Lumix DMC-LZ1,Panasonic,2005,2304.0,1600.0,4.0,37.0,222.0,50.0,5.0,14.0,224.0,101.0,149.0
Panasonic Lumix DMC-LZ2,Panasonic,2005,2560.0,2048.0,5.0,37.0,222.0,50.0,5.0,14.0,224.0,101.0,149.0
Panasonic Lumix DMC-LZ3,Panasonic,2006,2560.0,2048.0,5.0,37.0,222.0,50.0,5.0,14.0,230.0,100.0,149.0
Panasonic Lumix DMC-LZ5,Panasonic,2006,2816.0,2048.0,6.0,37.0,222.0,50.0,5.0,14.0,230.0,100.0,149.0
Panasonic Lumix DMC-LZ6,Panasonic,2007,3072.0,2560.0,7.0,37.0,222.0,50.0,5.0,27.0,230.0,99.0,149.0
Panasonic Lumix DMC-LZ7,Panasonic,2007,3072.0,2560.0,7.0,37.0,222.0,50.0,5.0,27.0,234.0,99.0,149.0
Panasonic Lumix DMC-TZ1,Panasonic,2006,2560.0,2048.0,4.0,35.0,350.0,40.0,5.0,13.0,250.0,112.0,299.0
Panasonic Lumix DMC-TZ2,Panasonic,2007,2816.0,2048.0,6.0,28.0,280.0,50.0,5.0,13.0,260.0,105.0,299.0
Panasonic Lumix DMC-TZ3,Panasonic,2007,3072.0,2560.0,7.0,28.0,280.0,50.0,5.0,13.0,280.0,105.0,299.0
Pentax EI-100,Pentax,2001,1280.0,640.0,1.0,42.0,42.0,60.0,30.0,8.0,240.0,105.0,509.0
Pentax EI-200,Pentax,2000,1600.0,800.0,1.0,34.0,108.0,50.0,10.0,16.0,390.0,128.0,509.0
Pentax EI-2000,Pentax,2000,1600.0,800.0,1.0,34.0,108.0,50.0,10.0,16.0,630.0,144.0,509.0
Pentax *ist D,Pentax,2003,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,650.0,129.0,799.0
Pentax *ist DL,Pentax,2005,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,565.0,125.0,799.0
Pentax *ist DL2,Pentax,2006,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,565.0,125.0,799.0
Pentax *ist DS,Pentax,2004,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,605.0,125.0,799.0
Pentax *ist DS2,Pentax,2005,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,605.0,125.0,799.0
Pentax K100D,Pentax,2006,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,660.0,129.0,509.0
Pentax K100D Super,Pentax,2007,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,646.0,129.0,509.0
Pentax K10D,Pentax,2006,3872.0,3008.0,10.0,0.0,0.0,0.0,0.0,0.0,793.0,142.0,799.0
Pentax K110D,Pentax,2006,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,585.0,129.0,509.0
Pentax Optio 230,Pentax,2002,1600.0,1024.0,1.0,38.0,114.0,50.0,10.0,16.0,230.0,104.0,269.0
Pentax Optio 30,Pentax,2004,2048.0,1600.0,3.0,38.0,114.0,50.0,2.0,16.0,180.0,94.0,149.0
Pentax Optio 330,Pentax,2001,2048.0,1024.0,3.0,37.0,111.0,40.0,14.0,16.0,240.0,92.0,269.0
Pentax Optio 330GS,Pentax,2002,2048.0,1600.0,3.0,38.0,114.0,4.0,5.0,16.0,230.0,104.0,269.0
Pentax Optio 330RS,Pentax,2002,2048.0,1024.0,3.0,37.0,111.0,40.0,14.0,16.0,240.0,92.0,269.0
Pentax Optio 33L,Pentax,2003,2048.0,1600.0,3.0,38.0,114.0,40.0,10.0,16.0,225.0,105.0,269.0
Pentax Optio 33LF,Pentax,2003,2048.0,1600.0,3.0,38.0,114.0,40.0,10.0,12.0,225.0,109.0,269.0
Pentax Optio 33WR,Pentax,2003,2048.0,1600.0,3.0,37.0,104.0,30.0,1.0,16.0,208.0,82.0,269.0
Pentax Optio 430,Pentax,2001,2240.0,1120.0,3.0,37.0,111.0,40.0,14.0,16.0,240.0,92.0,269.0
Pentax Optio 430RS,Pentax,2002,2240.0,1120.0,3.0,37.0,111.0,40.0,14.0,16.0,240.0,92.0,269.0
Pentax Optio 43WR,Pentax,2004,2288.0,1600.0,3.0,37.0,104.0,30.0,1.0,16.0,200.0,82.0,269.0
Pentax Optio 450,Pentax,2003,2288.0,1600.0,3.0,37.0,187.0,60.0,2.0,16.0,250.0,100.0,149.0
Pentax Optio 50,Pentax,2005,2560.0,2048.0,4.0,32.0,96.0,50.0,6.0,12.0,180.0,91.0,149.0
Pentax Optio 550,Pentax,2003,2592.0,2048.0,5.0,37.0,187.0,60.0,2.0,16.0,250.0,100.0,149.0
Pentax Optio 555,Pentax,2003,2592.0,2048.0,5.0,37.0,187.0,60.0,2.0,16.0,250.0,100.0,149.0
Pentax Optio 60,Pentax,2005,2848.0,2272.0,6.0,36.0,108.0,50.0,5.0,12.0,200.0,91.0,149.0
Pentax Optio 750Z,Pentax,2004,3056.0,2592.0,7.0,37.0,187.0,60.0,2.0,32.0,255.0,100.0,149.0
Pentax Optio A10,Pentax,2006,3264.0,2592.0,8.0,38.0,114.0,35.0,6.0,24.0,145.0,89.0,249.0
Pentax Optio A20,Pentax,2006,3648.0,3072.0,10.0,38.0,114.0,35.0,6.0,22.0,145.0,89.0,149.0
Pentax Optio A30,Pentax,2007,3648.0,3072.0,10.0,38.0,114.0,35.0,6.0,22.0,145.0,89.0,269.0
Pentax Optio E10,Pentax,2006,2816.0,2272.0,6.0,34.0,102.0,50.0,5.0,10.0,180.0,87.0,149.0
Pentax Optio E20,Pentax,2006,2816.0,2272.0,6.0,34.0,102.0,50.0,5.0,13.0,180.0,90.0,149.0
Pentax Optio E30,Pentax,2007,3072.0,2592.0,7.0,36.0,108.0,50.0,15.0,11.0,190.0,95.0,149.0
Pentax Optio E40,Pentax,2007,3264.0,2592.0,8.0,37.0,112.0,40.0,15.0,10.0,175.0,94.0,149.0
